"","site.code","session","site.accession","tree.accession","id","crowngroup","subplot","rep","species","count","max","min","height.diff","value_dirichlet","vert.density"
"958","DSUN","7","DSUN007","DSUN04080",15616,"2","4","DSUN007-4","BFF",1,12.4,12.4,0,47.9230469813075,NA
"959","DSUN","7","DSUN007","DSUN04083",15619,"2","4","DSUN007-4","BFF",40,16.5,10.4,6.1,84.5301945558125,0.0775743754481803
"960","DSUN","7","DSUN007","DSUN05097",15633,"3","5","DSUN007-5","BFF",2,16,14.6,1.4,66.8600264745705,0.0213665998040663
"961","DSUN","7","DSUN007","DSUN05102",15638,"2","5","DSUN007-5","BFF",69,21.3,14.5,6.8,57.5484838022495,0.176321914203633
"962","DSUN","7","DSUN007","DSUN05103",15639,"2","5","DSUN007-5","BFF",9,22.1,16.5,5.6,71.4317564128695,0.0224989967746797
"963","DSUN","7","DSUN007","DSUN05105",15641,"2","5","DSUN007-5","BFF",14,15,11.2,3.8,13.5533400225,0.271830450663792
"964","DSUN","7","DSUN007","DSUN06111",15647,"2","6","DSUN007-6","BFF",51,24.9,13,11.9,23.0548856212415,0.185891804284887
"965","DSUN","7","DSUN007","DSUN06115",15651,"2","6","DSUN007-6","BFF",29,16.8,10.4,6.4,53.5537537928,0.0846112490551353
"966","DSUN","7","DSUN007","DSUN06119",15655,"2","6","DSUN007-6","BFF",35,17.2,12.2,5,41.752983238936,0.167652691065013
"967","DSUN","7","DSUN007","DSUN06124",15660,"2","6","DSUN007-6","BFF",27,11.3,9.6,1.7,12.932219644429,1.22812273359572
"968","DSUN","7","DSUN007","DSUN07129",15665,"2","7","DSUN007-7","BFF",49,22.3,14.8,7.5,36.0777549,0.181090351975681
"969","DSUN","7","DSUN007","DSUN07130",15666,"2","7","DSUN007-7","BFF",53,12.9,8.9,4,30.296237591492,0.437348035708598
"970","DSUN","7","DSUN007","DSUN07131",15667,"2","7","DSUN007-7","BFF",20,11.7,10,1.7,59.978387597926,0.196149085587619
"971","DSUN","7","DSUN007","DSUN07137",15673,"2","7","DSUN007-7","BFF",43,25.7,18.2,7.5,78.1851119357115,0.0733302439734003
"972","DSUN","7","DSUN007","DSUN07146",15682,"2","7","DSUN007-7","BFF",60,18.4,12.8,5.6,33.1306303359375,0.323395166516458
"973","DSUN","7","DSUN007","DSUN08148",15684,"2","8","DSUN007-8","BFF",15,16,13,3,27.0922711105,0.184554479748366
"974","DSUN","7","DSUN007","DSUN08152",15688,"2","8","DSUN007-8","BFF",45,18,9.2,8.8,45.9417150541145,0.111307041054367
"975","DSUN","7","DSUN007","DSUN08153",15689,"2","8","DSUN007-8","BFF",47,19.1,11.6,7.5,25.6440847679995,0.244370845103689
"976","DSUN","7","DSUN007","DSUN08164",15700,"2","8","DSUN007-8","BFF",29,16.2,11,5.2,64.3910836725885,0.0866101758013617
"977","DSUN","7","DSUN007","DSUN09183",15719,"2","9","DSUN007-9","BFF",55,17,12.3,4.7,14.499041698506,0.807096627688178
"978","DSUN","7","DSUN007","DSUN09188",15724,"2","9","DSUN007-9","BFF",4,17.7,14.2,3.5,27.4306639350275,0.0416634881884056
"979","DSUN","7","DSUN007","DSUN09189",15725,"2","9","DSUN007-9","BFF",19,18.3,11.7,6.6,17.84404977125,0.161330410735915
"980","DSUN","7","DSUN007","DSUN09194",15730,"2","9","DSUN007-9","BFF",22,19.3,13.5,5.8,78.639677184603,0.0482339651442328
"981","DSUN","7","DSUN007","DSUN10216",15751,"2","10","DSUN007-10","BFF",7,13.7,11,2.7,25.2760453526735,0.102571132327802
"982","DSUN","7","DSUN007","DSUN10217",15752,"2","10","DSUN007-10","BFF",48,21.3,10.2,11.1,27.919418029683,0.154885904846829
"983","DSUN","7","DSUN007","DSUN10219",15754,"2","10","DSUN007-10","BFF",6,12.1,9.8,2.3,22.7067026217485,0.114886590784666
"984","DSUN","7","DSUN007","DSUN10227",15762,"2","10","DSUN007-10","BFF",12,20.2,9.2,11,37.788559900946,0.0288687659378568
"985","DSUN","8","DSUN008","DSUN01001",18059,"2","1","DSUN008-1","BFF",4,12.9,12.3,0.6,40.1289211621035,0.166131220915116
"986","DSUN","8","DSUN008","DSUN01007",18065,"2","1","DSUN008-1","BFF",14,17.9,15.9,2,16.060388014055,0.435854973981579
"987","DSUN","8","DSUN008","DSUN01020",18078,"2","1","DSUN008-1","BFF",12,20.4,17.9,2.5,26.2441718027305,0.182897751016117
"988","DSUN","8","DSUN008","DSUN02025",18083,"2","2","DSUN008-2","BFF",16,16.7,14.3,2.4,27.914595100748,0.238823692144044
"989","DSUN","8","DSUN008","DSUN02038",18096,"2","2","DSUN008-2","BFF",5,13.7,12.9,0.799999999999999,14.243480802598,0.438797235494572
"990","DSUN","8","DSUN008","DSUN02045",18103,"2","2","DSUN008-2","BFF",26,18.3,15.7,2.6,25.156320337628,0.397514416488103
"991","DSUN","8","DSUN008","DSUN03053",18111,"2","3","DSUN008-3","BFF",11,19.1,15.6,3.5,32.6195974129215,0.0963487410059871
"992","DSUN","8","DSUN008","DSUN03061",18119,"2","3","DSUN008-3","BFF",14,18.1,16.4,1.7,19.168913606803,0.429617154449711
"993","DSUN","8","DSUN008","DSUN03064",18122,"2","3","DSUN008-3","BFF",10,19.3,16.7,2.6,57.0402493772725,0.0674287698273341
"994","DSUN","8","DSUN008","DSUN03068",18126,"2","3","DSUN008-3","BFF",9,17,14.1,2.9,33.1001886376875,0.093759232306263
"995","DSUN","8","DSUN008","DSUN04073",18131,"2","4","DSUN008-4","BFF",7,14.5,13.7,0.800000000000001,36.833072365364,0.237558244210658
"996","DSUN","8","DSUN008","DSUN04080",18138,"2","4","DSUN008-4","BFF",8,14,12.3,1.7,47.9230469813075,0.0981966433556848
"997","DSUN","8","DSUN008","DSUN04083",18141,"2","4","DSUN008-4","BFF",11,16.8,14.2,2.6,84.5301945558125,0.0500503903132009
"998","DSUN","8","DSUN008","DSUN05102",18160,"2","5","DSUN008-5","BFF",30,19.4,16.7,2.7,57.5484838022495,0.193073915714123
"999","DSUN","8","DSUN008","DSUN05103",18161,"2","5","DSUN008-5","BFF",21,20.7,15.7,5,71.4317564128695,0.0587973782378296
"1000","DSUN","8","DSUN008","DSUN05104",18162,"2","5","DSUN008-5","BFF",11,16.4,13.5,2.9,50.03512238296,0.0758088172393008
"1001","DSUN","8","DSUN008","DSUN05105",18163,"2","5","DSUN008-5","BFF",4,15.8,15.2,0.600000000000001,13.5533400225,0.491883672629718
