"","site.accession","site.code","session","subplot","species","Liqr_v","Uiqr_v","median_v","mean_v","sd_v","tree.count"
"3616","DCLU011","DCLU","11","6","all",3.694724,10.662394,6.56583593263617,7.37355735704025,4.54384745763278,35
"3617","DCLU011","DCLU","11","7","all",1.761468,5.579905,3.27254982844653,4.04402713505471,3.02654038680566,42
"3618","DCLU011","DCLU","11","8","all",3.138336,11.628381,6.95359607847156,8.2872790679648,6.34154585653342,36
"3619","DCLU011","DCLU","11","9","all",1.983895,6.764473,3.74052333121117,5.59470557711865,5.59697830973675,37
"3620","DCLU011","DCLU","11","10","all",1.253155,6.226674,3.261414599622,4.18428915940452,3.35984350706247,37
"3621","DCLU012","DCLU","12","1","all",1.215977,3.421017,2.13733981076236,5.00169457631885,9.57560410259117,14
"3622","DCLU012","DCLU","12","2","all",3.356276,12.586035,7.72511970986118,8.67268321340885,6.25675445668261,46
"3623","DCLU012","DCLU","12","3","all",2.171067,7.561877,4.23764972995112,6.0683034303897,5.51071754579847,29
"3624","DCLU012","DCLU","12","4","all",1.444814,4.622892,2.609379186024,3.43317334513567,2.62349248874816,32
"3625","DCLU012","DCLU","12","5","all",2.010817,6.42282,3.75741103054243,4.55765271839515,3.16821689460105,41
"3626","DCLU012","DCLU","12","6","all",2.818477,7.097793,4.69838467865518,5.34257288987555,3.38659337863036,35
"3627","DCLU012","DCLU","12","7","all",1.407636,4.835063,2.51967869790972,3.7906406235457,3.51936725167485,42
"3628","DCLU012","DCLU","12","8","all",2.443492,7.579184,4.73399001473258,6.17620409115622,5.58612561030438,36
"3629","DCLU012","DCLU","12","9","all",1.945435,6.625376,3.86903798195878,5.0605782037706,4.36182026152616,37
"3630","DCLU012","DCLU","12","10","all",1.049317,4.026121,1.81542827175482,2.48866843502415,1.66524594469485,37
"3631","DCLU013","DCLU","13","1","all",1.045471,3.341533,1.6182302970303,2.69385144525534,2.43725034992184,13
"3632","DCLU013","DCLU","13","2","all",2.539001,7.527263,4.58209067974305,5.53554596241334,3.87200173960528,46
"3633","DCLU013","DCLU","13","3","all",1.498658,5.40363,2.71271746174241,3.87185961818499,3.14075372924809,29
"3634","DCLU013","DCLU","13","4","all",1.181363,3.638957,2.0776001862125,2.53887113521743,1.62376595345999,32
"3635","DCLU013","DCLU","13","5","all",1.28841,3.39089,2.11875383446142,2.40416140809141,1.33276988096069,41
"3636","DCLU013","DCLU","13","6","all",1.900565,5.620288,3.32897456972746,3.98669219555143,2.5552713182263,35
"3637","DCLU013","DCLU","13","7","all",1.524939,4.433797,2.58887461529312,3.35666769838929,2.52853990148052,42
"3638","DCLU013","DCLU","13","8","all",1.668523,7.236249,3.44315666258805,4.57853187444302,3.41352864286044,36
"3639","DCLU013","DCLU","13","9","all",1.702496,5.233124,3.16700920822498,3.72145203417601,2.46027289956936,37
"3640","DCLU013","DCLU","13","10","all",1.654421,5.27543,3.54686866941747,3.52454310903008,1.91598058119451,37
"3641","DLIS001","DLIS","1","1","all",7.125356,23.988143,13.1288678679659,20.3628925936421,21.8052087690466,60
"3642","DLIS001","DLIS","1","2","all",2.228116,11.51877,5.42538193106329,8.13655453567771,7.90885457072634,72
"3643","DLIS001","DLIS","1","3","all",4.180602,22.744603,10.0920550178285,18.4379193245614,23.6812437290443,59
"3644","DLIS001","DLIS","1","4","all",1.762109,8.606066,3.51338465651142,8.367227419941,12.4378175822519,43
"3645","DLIS001","DLIS","1","5","all",2.268499,13.585354,5.79564488046189,10.0744981957229,12.2666944905094,36
"3646","DLIS001","DLIS","1","6","all",1.976844,7.636233,4.14637503903188,7.11520450652996,10.1890107259474,57
"3647","DLIS001","DLIS","1","7","all",2.286447,22.4991,6.05188815035137,16.8896561476401,22.330776460506,29
"3648","DLIS001","DLIS","1","8","all",2.724891,18.074918,6.48309559929458,16.3170659838743,23.2974457577538,33
"3649","DLIS001","DLIS","1","9","all",4.609431,29.448822,12.2578535003814,19.5878991919584,19.5748347182773,38
"3650","DLIS001","DLIS","1","10","all",2.441569,14.776332,5.43911237710942,13.2031159975856,19.6622312483179,47
"3651","DLIS002","DLIS","2","1","all",1.89095,4.639558,2.84569527362009,4.00996080498811,3.95960124246205,60
"3652","DLIS002","DLIS","2","2","all",3.113337,9.079124,5.30661593620076,6.92832080534351,5.57861280943648,72
"3653","DLIS002","DLIS","2","3","all",2.739634,9.596411,5.16451214119767,7.63916490740145,7.7447023744514,59
"3654","DLIS002","DLIS","2","4","all",1.29482,9.92909,2.62694249499455,9.11952836823389,14.1837424194622,43
"3655","DLIS002","DLIS","2","5","all",1.764032,9.203478,4.13233836908502,6.88601117276548,7.29842530603706,36
"3656","DLIS002","DLIS","2","6","all",2.317215,8.318898,3.99757164085168,6.40790394485153,6.15451869474328,57
"3657","DLIS002","DLIS","2","7","all",1.733264,10.758544,4.24729692826245,9.52788039584132,12.8831479848208,29
"3658","DLIS002","DLIS","2","8","all",0.773687,1.119186,0.940588092985234,0.955264138923607,0.206913967134749,33
"3659","DLIS002","DLIS","2","9","all",2.188374,6.414487,3.9457098711793,5.79384635680611,6.27877274110085,38
"3660","DLIS002","DLIS","2","10","all",1.791595,10.479068,2.78926600168684,8.5437198535851,11.8395352764885,47
"3661","DLIS003","DLIS","3","1","all",1.479428,5.751052,2.8738307652672,4.46395739050116,4.20713073182307,60
"3662","DLIS003","DLIS","3","2","all",2.646048,11.543769,6.18116419561415,8.1969333475999,7.03016653724595,72
"3663","DLIS003","DLIS","3","3","all",1.926205,8.560555,3.89822152839052,7.06654240191925,8.07945293482099,59
"3664","DLIS003","DLIS","3","4","all",1.390329,5.370939,2.7873565010668,4.16829717218808,3.92409888097457,43
"3665","DLIS003","DLIS","3","5","all",1.299307,4.463924,2.44957625558357,3.28452845476086,2.56270705625258,36
"3666","DLIS003","DLIS","3","6","all",0.860222,1.486479,1.1395276058846,1.25143436966526,0.499591510951103,57
"3667","DLIS003","DLIS","3","7","all",1.509555,7.784945,3.65075881121074,5.59601657280987,5.42871822116581,29
"3668","DLIS003","DLIS","3","8","all",0,0,0,0,0,33
"3669","DLIS003","DLIS","3","9","all",2.20504,9.56372,5.21519815226308,6.87377099633597,6.00890196580582,38
"3670","DLIS003","DLIS","3","10","all",0,0,0,0,0,47
"3671","DLIS004","DLIS","4","1","all",1.843516,5.037619,3.11729700595785,4.01578776485761,3.12753977193192,60
"3672","DLIS004","DLIS","4","2","all",1.654421,5.527343,2.79635399652366,4.28011675905121,3.82443032477502,72
"3673","DLIS004","DLIS","4","3","all",2.476183,8.286848,4.55846510041562,7.24838293107802,7.75921719922621,59
"3674","DLIS004","DLIS","4","4","all",0,0,0,0,0,43
"3675","DLIS004","DLIS","4","5","all",0.774969,1.124955,0.940911779543357,0.957708830257413,0.206285206785167,36
"3676","DLIS004","DLIS","4","6","all",0,0,0,0,0,57
"3677","DLIS004","DLIS","4","7","all",0.773687,1.119186,0.940579295466188,0.955133912834333,0.207099268795806,29
"3678","DLIS004","DLIS","4","8","all",0,0,0,0,0,33
"3679","DLIS004","DLIS","4","9","all",2.383238,10.861104,5.37639114491914,7.66111302937017,6.80967870041587,38
"3680","DLIS004","DLIS","4","10","all",0,0,0,0,0,47
"3681","DLIS005","DLIS","5","1","all",1.285846,3.760106,2.00446908132349,2.97069023937923,2.57265207459667,60
"3682","DLIS005","DLIS","5","2","all",2.271704,6.206162,3.8394209148808,4.63637833157763,3.29674259703006,72
"3683","DLIS005","DLIS","5","3","all",1.949281,7.389448,3.72945253492187,5.68757628188487,5.44903899995179,59
"3684","DLIS005","DLIS","5","4","all",0.848043,1.370458,1.08738290786623,1.10567620967752,0.290966913212306,43
"3685","DLIS005","DLIS","5","5","all",0.850607,1.306999,1.07458504984443,1.15537472920067,0.414350411491113,36
"3686","DLIS005","DLIS","5","6","all",0,0,0,0,0,57
"3687","DLIS005","DLIS","5","7","all",0.773687,1.119186,0.940579295466188,0.955133912834333,0.207099268795806,29
"3688","DLIS005","DLIS","5","8","all",1.008934,2.48708,1.53166719797625,2.07446424278233,1.5204199585745,33
"3689","DLIS005","DLIS","5","9","all",2.413365,9.207324,4.51576780532541,6.78131092073764,6.27228083964068,38
"3690","DLIS005","DLIS","5","10","all",0,0,0,0,0,47
"3691","DLIS006","DLIS","6","1","all",1.396098,5.260687,2.20660205951209,5.08092116232402,6.76369637346605,60
"3692","DLIS006","DLIS","6","2","all",1.908257,6.479869,3.45918309041348,4.88270050912559,4.22798388387182,72
"3693","DLIS006","DLIS","6","3","all",1.744802,6.247827,3.04539863647943,6.86157455298597,9.35329162900032,59
"3694","DLIS006","DLIS","6","4","all",0.774969,1.124955,0.940911890661104,0.957973709306135,0.208768452487831,43
"3695","DLIS006","DLIS","6","5","all",0.814711,1.19226,1.02251861373997,1.01276815753383,0.21795733055551,36
"3696","DLIS006","DLIS","6","6","all",0,0,0,0,0,57
"3697","DLIS006","DLIS","6","7","all",1.01919,2.337727,1.52265757536707,1.73019601476923,0.840249780621521,29
"3698","DLIS006","DLIS","6","8","all",0.773687,1.119186,0.940586461805946,0.955264045921776,0.207034587130991,33
"3699","DLIS006","DLIS","6","9","all",2.691559,12.252074,6.36680254029437,8.680112113991,7.6400249607605,38
"3700","DLIS006","DLIS","6","10","all",0,0,0,0,0,47
"3701","DLIS007","DLIS","7","1","all",1.500581,4.547895,2.33845029334035,4.21716917829676,4.94883669721827,60
"3702","DLIS007","DLIS","7","2","all",1.650575,6.659349,3.39856860909324,4.96655349422584,4.43725322908921,72
"3703","DLIS007","DLIS","7","3","all",1.337767,5.340812,2.94852809716435,5.78517764204975,8.0671902477081,59
"3704","DLIS007","DLIS","7","4","all",0.780097,1.13457,0.945184632672639,0.962846783711798,0.211578773228341,43
"3705","DLIS007","DLIS","7","5","all",0.926245,1.492248,1.18306477717527,1.20050474877588,0.329487956491001,36
"3706","DLIS007","DLIS","7","6","all",0.962141,2.376187,1.44754467246822,1.7014233375783,0.852756272809995,57
"3707","DLIS007","DLIS","7","7","all",0.773687,1.119186,0.940579295466188,0.955133912834333,0.207099268795806,29
"3708","DLIS007","DLIS","7","8","all",0.880093,1.933897,1.19286585753418,1.49337906806919,0.794350712446958,33
