"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"710","DRED006",10,0,0,0,2.88295263094716,-5.1309094208181e-16,0.38626524640306,0,0,0,2.88295263094716,-5.1309094208181e-16,0.38626524640306,0,0.0209487350992535,0,0.0209487350992535,0,0,0,0,0,0.5126,0,0.5126,0,0.643894724693656,0,0.643894724693656
"711","DRED007",1,0,0,0,2.51134012571497,1.74543602790565e-13,0.172961602785461,35.6507715170871,1.27974947160548e-14,1.85590357468371,36.2312075718812,3.5085359056654e-13,2.02886517746918,0,0.03180660128864,0.0335296483687053,0.199256622665495,0,0.0011,0,0.0078,0,0.1941,1.038,1.2965,0,0.341367843675878,4.79062048693487,4.86068171457876
"712","DRED007",2,0,0,0,10.209341349957,1.87445090799081e-10,0.183742690968665,74.9227444535465,0.0172041263326773,7.74033827581487,74.9235360887997,0.0276431364904762,7.92408096678354,0,0.0113789782202376,3.90659376719148,4.01421900024598,0,3e-04,1.881,1.9125,0,0.0809,9.2993,9.6313,0,0.789554860782944,10.0668475342141,10.1437494972333
"713","DRED007",3,0,0,0,17.196700881169,1.4404237916064e-06,0.592193138370329,16.8569432293019,1.08939088095719e-08,1.93779016188245,21.4778382357953,2.9999584127077e-06,2.52998330025278,0,0.118399292872628,0.750690046662962,1.31612179607008,0,0.0151,0.0691,0.2801,0,0.6137,2.5553,3.2805,0,1.2345989765814,2.89480834172704,3.38727043443556
"714","DRED007",4,0,0,0,2.51115031072586,1.17332583184924e-15,0.133410288785528,0,0,0,2.51115031072586,1.17332583184924e-15,0.133410288785528,0,0.0203675630688979,0,0.0203675630688979,0,0.0011,0,0.0011,0,0.1196,0,0.1196,0,0.321078325771612,0,0.321078325771612
"715","DRED007",5,0,0,0,4.16723137560534,-1.99862076332745e-16,0.18801064187122,0,0,0,4.16723137560534,-1.99862076332745e-16,0.18801064187122,0,0.00199985163462034,0,0.00199985163462034,0,0,0,0,0,0.0697,0,0.0697,0,0.540741817166721,0,0.540741817166721
"716","DRED007",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"717","DRED007",7,0,0,0,5.438223772769,-5.919608806422e-16,0.3031968957555,0,0,0,5.438223772769,-5.919608806422e-16,0.3031968957555,0,6.58329834330268e-05,0,6.58329834330268e-05,0,0,0,0,0,0.1523,0,0.1523,0,0.770473764436844,0,0.770473764436844
"718","DRED007",8,0,0,0,1.10488222973265,-1.2367460670322e-16,0.0646252182870217,0,0,0,1.10488222973265,-1.2367460670322e-16,0.0646252182870217,0,5.17179669564746e-05,0,5.17179669564746e-05,0,0,0,0,0,0.044,0,0.044,0,0.164588565564135,0,0.164588565564135
"719","DRED007",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
