"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"971","DTOW007",1,0,0,0,7.47607529808103,0.100036977816495,1.2078915501618,0,0,0,7.47607529808103,0.100036977816495,1.2078915501618,0,0.577524843989653,0,0.577524843989653,0,0.2457,0,0.2457,0,1.5364,0,1.5364,0,1.49592879547083,0,1.49592879547083
"972","DTOW007",2,4.99384713747398,0.100004344093647,0.772109855032825,15.7685688949705,0.10000069729208,1.18532428985996,15.7540168973415,0.101342153224439,3.613863487076,17.4390591393606,0.100059024326181,2.01393757606869,0.482878382993797,0.517192259999443,1.78717903256759,0.971450410442442,0.2329,0.2236,0.4961,0.3313,1.0993,1.1436,5.4756,2.2247,0.746821909160631,2.13419781668812,4.08650109696225,2.90126102463161
"973","DTOW007",3,1.10446717082456,0.100027388434192,0.324039178178931,10.0347588255485,0.100037519941684,1.42431569502858,0,0,0,10.4334909643111,0.100027388434214,1.10173341731263,0.26056490462289,0.775594735451941,0,0.447505357094927,0.161,0.2523,0,0.2037,0.4294,2.092,0,1.366,0.210959304073878,1.60296086687642,0,1.4848207795582
"974","DTOW007",4,0.769717768331173,0.100152162830784,0.302225895548137,2.82951791216745,0.100003503317023,0.704183194226723,0,0,0,2.84470251115692,0.10004916891406,0.760904285516661,0.243292438752758,0.502003604021164,0,0.566737627485207,0.1687,0.2488,0,0.2671,0.3928,1.0035,0,1.1121,0.175815161106339,0.593663290321489,0,0.607895940238362
"975","DTOW007",5,0,0,0,16.0812119861409,0.100060414975786,2.16149391079759,0,0,0,16.0812119861409,0.100060414975786,2.16149391079759,0,0.64539241523648,0,0.64539241523648,0,0.2154,0,0.2154,0,2.2164,0,2.2164,0,3.40540951398162,0,3.40540951398162
"976","DTOW007",6,0,0,0,7.28797263386911,0.100099865076754,1.11066512227988,0,0,0,7.28797263386911,0.100099865076754,1.11066512227988,0,0.529961418955856,0,0.529961418955856,0,0.2288,0,0.2288,0,1.1933,0,1.1933,0,1.39920991395162,0,1.39920991395162
"977","DTOW007",7,0,0,0,5.34223819595191,0.100033364609206,0.975683157925146,0,0,0,5.34223819595191,0.100033364609206,0.975683157925146,0,0.515583280202564,0,0.515583280202564,0,0.232,0,0.232,0,1.1816,0,1.1816,0,1.11733382926074,0,1.11733382926074
"978","DTOW007",8,0,0,0,20.0178784371951,0.100087075832558,1.612965412014,0,0,0,20.0178784371951,0.100087075832558,1.612965412014,0,0.568450150025001,0,0.568450150025001,0,0.2567,0,0.2567,0,1.8912,0,1.8912,0,2.56435501203079,0,2.56435501203079
"979","DTOW007",9,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0.491746759894673,0,0.491746759894673,0,0.2197,0,0.2197,0,1.1028,0,1.1028,0,0.644159300813926,0,0.644159300813926
"980","DTOW007",10,0,0,0,4.71913879206761,0.100014594627577,0.70640513080268,0,0,0,4.71913879206761,0.100014594627577,0.70640513080268,0,0.371409585324135,0,0.371409585324135,0,0.1782,0,0.1782,0,0.9466,0,0.9466,0,0.779174931896559,0,0.779174931896559
"981","DTOW008",1,0.573265066756425,0.100250853443438,0.268750514992099,1.85062112177935,0.100040674437199,0.519603722358695,0,0,0,1.86584371634513,0.100041054991431,0.557623241819135,0.236531726320937,0.422322167379078,0,0.442337006302123,0.152,0.2016,0,0.2068,0.3668,0.7431,0,0.8046,0.132951264777034,0.378002858661294,0,0.415787210942401
"982","DTOW008",2,2.19942810156251,0.100043588447851,0.514183360480952,0.833382440461655,0.100044291652022,0.290919329687504,5.06567203619978,0.100016148452216,0.859213502620829,5.06568356793515,0.100049403779808,0.826299095122762,0.374439998962539,0.240940028687145,0.535817643169566,0.55664629727345,0.1878,0.1571,0.2713,0.2405,0.7656,0.3854,0.9472,1.1245,0.401863748338382,0.167414283286599,0.914173008336844,0.791535206897861
"983","DTOW008",3,2.51111346070545,0.100042321003572,0.525191311355409,1.29790748472855,0.100421358150532,0.50027393985635,0,0,0,2.5328337355808,0.100042321003612,0.567576392625361,0.296306210930156,0.415221901318529,0,0.359666675544908,0.1639,0.2147,0,0.1793,0.6469,0.7327,0,0.8083,0.535309491843164,0.330418216941107,0,0.522469277429483
"984","DTOW008",4,1.15423288424452,0.100115978037306,0.376692665703203,2.63763962467994,0.100611747836781,0.884881452317944,0,0,0,2.64018508372919,0.100110226494551,0.513755216586362,0.291660218731475,0.657701262614309,0,0.338042805907544,0.1702,0.2716,0,0.1959,0.512,1.369,0,0.6576,0.260723692822004,0.710281972713158,0,0.473343353877486
"985","DTOW008",5,0,0,0,10.6617727044679,0.100333714864251,2.26156239057184,0,0,0,10.6617727044679,0.100333714864251,2.26156239057184,0,1.03577134998061,0,1.03577134998061,0,0.3415,0,0.3415,0,3.2743,0,3.2743,0,2.64308339138902,0,2.64308339138902
"986","DTOW008",6,0,0,0,3.42679508184067,0.100022091077062,0.818257847006579,0,0,0,3.42679508184067,0.100022091077062,0.818257847006579,0,0.501893907709707,0,0.501893907709707,0,0.2479,0,0.2479,0,1.183,0,1.183,0,0.75443459153878,0,0.75443459153878
"987","DTOW008",7,0,0,0,0.948790388945627,0.10005553624992,0.272839991069265,0,0,0,0.948790388945627,0.10005553624992,0.272839991069265,0,0.231302808245592,0,0.231302808245592,0,0.1581,0,0.1581,0,0.3439,0,0.3439,0,0.152211496754932,0,0.152211496754932
